title,author,musicType
无期-C调简单版-前路漫漫雨纷纷谁在痴痴等,光头华夏,流行
Popstar-DJ Khaled ft Drake,DJ Khaled,流行
Jerusalema-Master KG ft Nomcebo,Master KG,流行
凉雨-洛天依,洛天依,流行
双面燕洵-C调简单版,谭旋,影视
需要人陪-C调简单版,王力宏,流行
赢在江湖-C调简单版,姜鹏,流行
Six Thirty-Ariana Grande,Ariana Grande,流行
You Never Know-Blackpink,Blackpink,流行
No Idea-Don Toliver,Don Toliver,流行
g小调巴赫-C调简单版,巴赫,轻音乐
Bluebird-Miranda Lambert,Miranda Lambert,流行
August-Taylor Swift,Taylor Swift,流行
众相渡他-2020肖战生贺原创曲,执素兮,流行
可可托海的牧羊人-心上人我在可可托海等你-抖音热歌,王琪,流行
Crazy Over You-Blackpink,Blackpink,流行
Love To Hate Me-Blackpink,Blackpink ,流行
Monster-冰雪奇缘音乐剧OST,Elsa,影视
Hawái-Hawaii-Maluma ft The Weeknd,Maluma,流行
画-C调简单版,邓紫棋,流行
记念-C调简单版-我只想要拉住流年好好地说声再见,RAiNBOW计划,流行
阳光舞甜橙-唯美纯音乐,李欣芸,轻音乐
Baby Shark-鲨鱼宝宝-C调简单版,碰碰狐,儿歌
Flower Dance-花舞-The Daydream,The Daydream,轻音乐
Nachdi Phira-神秘巨星电影插曲-C调简单版,Meghna Mishra,影视
茉莉雨-林俊杰,林俊杰,流行
真心-将夜插曲,庄心妍,影视
扰人清梦-石进,石进,轻音乐
时光之末-石进,石进,轻音乐
Bad Romance-C调简单版,Lady Gaga,流行
Cupids Curse-Phora ft Kehlani,Phora,流行
Happy Xmas War Is Over,John Lennon,流行
Imagine Dragon歌曲串烧,Imagine Dragon,串烧合体
巴赫の幻想曲-原创音乐,IDW哒,原创
Tonight-C调简单版,Big Bang,流行
Krabby Step-海绵宝宝营救大冒险OST,Swae Lee,影视
Santa Claus Is Comin to Town-C调简单版-带指法-圣诞歌曲,J. Fred Coots,流行
Phobia-Nothing But Thieves,Nothing But Thieves,流行
Invisible String-Taylor Swift,Taylor Swift,流行
加伏特舞曲-C调简单版,戈塞克,经典
没有什么不同-C调简单版,曲婉婷,流行
松烟入墨-C调简单版,Winky诗,流行
是你想成为的大人吗-尤长靖,尤长靖,流行
圣诞歌曲串烧,Various Artists,串烧合体
Its the Most Wonderful Time of the Year,Andy Williams,流行
JustiΦs-假面骑士555主题曲,ISSA,影视
Got It On Me-Pop Smoke,Pop Smoke,流行
The Twelve Days of Christmas-简单版,Frederic Austin,流行
海若有因-C调简单版,许魏洲,影视
燕无歇-心多憔悴爱付与东流的水-抖音热歌,是七叔呢,流行
California-Lana Del Rey,Lana Del Rey,流行
Like a Breeze-C调简单版,谭松韵,影视
This Is Me Trying-Taylor Swift,Taylor Swift,流行
Therefore I Am-Billie Eilish,Billie Eilish,流行
スタァライトシアター-C调简单版,Starlight九九组,流行
重逢-局中人插曲,高嘉朗,影视
忆梦-原创音乐,M小冯哒,原创
Decent Black-终物语OP,水桥香织,动漫
Regret-Eric Chiryoku,Eric Chiryoku,轻音乐
小段-汪苏泷,汪苏泷,流行
最向往的地方-《Soul》心灵奇旅中文主题曲,林俊杰,影视
迷失幻境-没来得及说抱歉你已经不在身边-抖音热歌,IN-K,流行
